StationName,ObservedMeanPM25
"Anand Vihar, Delhi - DPCC",153.36271665642286
"DTU, Delhi - CPCB",131.41198151950718
"Jahangirpuri, Delhi - DPCC",128.20317820658343
"Wazirpur, Delhi - DPCC",127.6264960182025
"Rohini, Delhi - DPCC",122.81441753171858
"Mundka, Delhi - DPCC",122.53265474552958
"Bawana, Delhi - DPCC",121.24936288088642
"Burari Crossing, Delhi - IMD",120.62873111782477
"Punjabi Bagh, Delhi - DPCC",119.81197220383852
"R K Puram, Delhi - DPCC",119.42007642563198
"ITO, Delhi - CPCB",119.32176350662589
"Sirifort, Delhi - CPCB",118.879536163522
"CRRI Mathura Road, Delhi - IMD",117.60025833333333
"Nehru Nagar, Delhi - DPCC",116.84540295119183
"NSIT Dwarka, Delhi - CPCB",116.11458048477314
"Ashok Vihar, Delhi - DPCC",113.44357224118316
"Shadipur, Delhi - CPCB",112.00019534883721
"Narela, Delhi - DPCC",110.03860438292965
"North Campus, DU, Delhi - IMD",108.10270386266095
"IHBAS, Dilshad Garden, Delhi - CPCB",107.71400766283524
"Alipur, Delhi - DPCC",107.08421955403087
"Vivek Vihar, Delhi - DPCC",106.92307517084284
"Sonia Vihar, Delhi - DPCC",104.14744874715262
"Dwarka-Sector 8, Delhi - DPCC",103.39760499432462
"Mandir Marg, Delhi - DPCC",102.7719222614841
"Okhla Phase-2, Delhi - DPCC",100.39893181818182
"Jawaharlal Nehru Stadium, Delhi - DPCC",97.48990888382689
"Pusa, Delhi - DPCC",97.00103399433428
"Patparganj, Delhi - DPCC",94.12323831242874
"Major Dhyan Chand National Stadium, Delhi - DPCC",92.75228409090909
"IGI Airport (T3), Delhi - IMD",91.71318885448916
"Lodhi Road, Delhi - IMD",91.2890621814475
"Aya Nagar, Delhi - IMD",89.07856561546286
"Najafgarh, Delhi - DPCC",86.44370838117106
"Sri Aurobindo Marg, Delhi - DPCC",85.24093406593407
"Pusa, Delhi - IMD",83.64288117770768
"Dr. Karni Singh Shooting Range, Delhi - DPCC",83.156694021102
